Countries and areas;OOSR_Pre0Primary_Age_Male;OOSR_Pre0Primary_Age_Female;OOSR_Primary_Age_Male;OOSR_Primary_Age_Female;OOSR_Lower_Secondary_Age_Male;OOSR_Lower_Secondary_Age_Female;OOSR_Upper_Secondary_Age_Male;OOSR_Upper_Secondary_Age_Female;Completion_Rate_Primary_Male;Completion_Rate_Primary_Female;Completion_Rate_Lower_Secondary_Male;Completion_Rate_Lower_Secondary_Female;Completion_Rate_Upper_Secondary_Male;Completion_Rate_Upper_Secondary_Female;Grade_2_3_Proficiency_Reading;Grade_2_3_Proficiency_Math;Primary_End_Proficiency_Reading;Primary_End_Proficiency_Math;Lower_Secondary_End_Proficiency_Reading;Lower_Secondary_End_Proficiency_Math;Youth_15_24_Literacy_Rate_Male;Youth_15_24_Literacy_Rate_Female;Birth_Rate;Gross_Primary_Education_Enrollment;Gross_Tertiary_Education_Enrollment;Unemployment_Rate
Turkey;23;25;5;5;6;7;17;17;99;98;96;92;51;44;0;0;0;57;74;42;0;0;1603;932;239;1349
Turkmenistan;0;0;0;0;0;0;0;0;100;100;99;100;93;95;0;0;0;0;0;0;0;0;2383;884;8;391
Turks and Caicos Islands;19;0;0;0;22;17;29;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tuvalu;13;9;13;17;27;32;61;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uganda;0;0;6;3;0;0;0;0;39;43;27;23;18;15;33;21;0;0;0;0;89;90;3814;1027;48;184
Ukraine;0;0;9;7;4;3;7;4;100;99;100;100;97;97;0;0;0;0;74;64;0;0;87;99;827;888
United Arab Emirates;0;0;8;5;2;3;2;2;0;0;0;0;0;0;68;42;0;0;57;46;0;0;1033;1084;368;235
United Kingdom;3;0;1;1;2;2;5;4;0;0;0;0;0;0;0;0;0;0;83;81;0;0;11;1012;60;385
Tanzania;45;42;15;12;0;0;84;88;75;84;31;27;32;27;0;0;0;0;0;0;0;0;367;942;4;198
United States;12;8;1;1;3;1;4;3;0;0;0;0;0;0;0;0;0;0;81;73;0;0;116;1018;882;147
Uruguay;2;1;3;3;1;0;15;9;96;98;66;73;48;29;80;75;59;68;58;49;99;99;1386;1085;631;873
Uzbekistan;53;55;0;2;0;2;14;15;0;0;0;0;0;0;0;0;0;0;0;0;100;100;233;1042;101;592
Vanuatu;38;38;8;7;2;4;41;46;0;0;0;0;0;0;0;0;0;0;0;0;96;97;296;1093;47;439
Venezuela;14;14;10;10;15;13;28;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1788;972;793;88
Vietnam;0;0;0;0;0;0;0;0;96;97;81;87;50;61;0;0;55;51;86;81;98;98;1675;1106;285;201
Yemen;96;96;10;21;23;34;46;68;70;55;55;39;37;23;0;0;0;0;0;0;0;0;3045;936;102;1291
Zambia;0;0;17;13;0;0;0;0;71;73;54;50;33;27;0;0;0;0;5;2;93;92;3619;987;41;1143
Zimbabwe;60;58;0;0;0;0;45;50;86;92;45;53;17;14;20;0;0;0;0;0;0;0;3068;1099;10;495
